Name,JIF,Category,Keywords,Publisher
Ethnobiology Letters,0.7,ANTHROPOLOGY|Q3|81/139,"['Ethnobiology', 'Letters', 'ANTHROPOLOGY|Q3|81/139']",Society Of Ethnobiology
Journal of Settlements and Spatial Planning,0.7,GEOGRAPHY|Q3|111/171,"['Journal', 'Settlements', 'Spatial', 'Planning', 'GEOGRAPHY|Q3|111/171']",Sciendo
Reviews and Research in Medical Microbiology,0.7,MICROBIOLOGY|Q4|151/161,"['Reviews', 'Research', 'Medical', 'Microbiology', 'MICROBIOLOGY|Q4|151/161']",Hindawi
REVISTA BRASILEIRA DE ENTOMOLOGIA,0.7,ENTOMOLOGY|Q4|82/109,"['REVISTA', 'BRASILEIRA', 'DE', 'ENTOMOLOGIA', 'ENTOMOLOGY|Q4|82/109']",Sociedade Brasileira De Entomologia
RUSI Journal,0.7,POLITICAL SCIENCE|Q3|221/317,"['RUSI', 'Journal', 'POLITICAL', 'SCIENCE|Q3|221/317']",Routledge
University Politehnica of Bucharest Scientific Bulletin-Series A-Applied Mathematics and Physics,0.7,"PHYSICS, MULTIDISCIPLINARY|Q3|81/110","['University', 'Politehnica', 'Bucharest', 'Scientific', 'Bulletin-Series', 'A-Applied', 'Mathematics', 'Physics', 'PHYSICS', 'MULTIDISCIPLINARY|Q3|81/110']",University Politehnica Of Bucharest
British Journal of Visual Impairment,0.7,OPHTHALMOLOGY|Q4|83/95,"['British', 'Journal', 'Visual', 'Impairment', 'OPHTHALMOLOGY|Q4|83/95']",Taylor & Francis
Chungara-Revista de Antropologia Chilena,0.7,ANTHROPOLOGY|Q3|81/139,"['Chungara-Revista', 'de', 'Antropologia', 'Chilena', 'ANTHROPOLOGY|Q3|81/139']",Universidad De Tarapaca
Circulo de Linguistica Aplicada a la Comunicacion,0.7,LINGUISTICS|Q3|177/297,"['Circulo', 'de', 'Linguistica', 'Aplicada', 'la', 'Comunicacion', 'LINGUISTICS|Q3|177/297']",Universidad Austral De Chile
North-Western Journal of Zoology,0.7,ZOOLOGY|Q4|138/180,"['North-Western', 'Journal', 'Zoology', 'ZOOLOGY|Q4|138/180']",Zoological Society Of Pakistan
Queensland Review,0.7,AREA STUDIES|Q2|74/176,"['Queensland', 'Review', 'AREA', 'STUDIES|Q2|74/176']",University Of Queensland Press
SOCIOBIOLOGY,0.7,ENTOMOLOGY|Q4|82/109,"['SOCIOBIOLOGY', 'ENTOMOLOGY|Q4|82/109']",California State University
AD ALTA-Journal of Interdisciplinary Research,0.7,MULTIDISCIPLINARY SCIENCES|Q3|90/134,"['AD', 'ALTA-Journal', 'Interdisciplinary', 'Research', 'MULTIDISCIPLINARY', 'SCIENCES|Q3|90/134']",Constantin Brancusi University
HOMO-JOURNAL OF COMPARATIVE HUMAN BIOLOGY,0.7,ANTHROPOLOGY|Q3|81/139,"['HOMO-JOURNAL', 'COMPARATIVE', 'HUMAN', 'BIOLOGY', 'ANTHROPOLOGY|Q3|81/139']",Elsevier
JOURNAL OF ENTOMOLOGICAL SCIENCE,0.7,ENTOMOLOGY|Q4|82/109,"['JOURNAL', 'ENTOMOLOGICAL', 'SCIENCE', 'ENTOMOLOGY|Q4|82/109']",Georgia Entomological Society
PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES,0.7,STATISTICS & PROBABILITY|Q3|126/168,"['PROBABILITY', 'ENGINEERING', 'INFORMATIONAL', 'SCIENCES', 'STATISTICS', 'PROBABILITY|Q3|126/168']",Cambridge University Press
RICYDE-Revista Internacional de Ciencias del Deporte,0.7,SPORT SCIENCES|Q4|104/127,"['RICYDE-Revista', 'Internacional', 'de', 'Ciencias', 'del', 'Deporte', 'SPORT', 'SCIENCES|Q4|104/127']",Universidad Catolica San Antonio De Murcia
SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCE,0.7,"AGRICULTURE, DAIRY & ANIMAL SCIENCE|Q3|59/80","['SOUTH', 'AFRICAN', 'JOURNAL', 'ANIMAL', 'SCIENCE', 'AGRICULTURE', 'DAIRY', 'ANIMAL', 'SCIENCE|Q3|59/80']",South African Society For Animal Science
South African Journal of Education,0.7,EDUCATION & EDUCATIONAL RESEARCH|Q3|520/756,"['South', 'African', 'Journal', 'Education', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q3|520/756']",Taylor & Francis
Surgical Case Reports,0.7,SURGERY|Q4|229/290,"['Surgical', 'Case', 'Reports', 'SURGERY|Q4|229/290']",Springer
Turkish Archives of Otorhinolaryngology,0.7,OTORHINOLARYNGOLOGY|Q4|51/65,"['Turkish', 'Archives', 'Otorhinolaryngology', 'OTORHINOLARYNGOLOGY|Q4|51/65']",Turkish Otorhinolaryngology Head And Neck Surgery Society
Atlantis-Critical Studies in Gender Culture & Social Justice,0.7,WOMENS STUDIES|Q3|44/66,"['Atlantis-Critical', 'Studies', 'Gender', 'Culture', 'Social', 'Justice', 'WOMENS', 'STUDIES|Q3|44/66']",Taylor & Francis
Australian and New Zealand Journal of Family Therapy,0.7,FAMILY STUDIES|Q4|53/66,"['Australian', 'New', 'Zealand', 'Journal', 'Family', 'Therapy', 'FAMILY', 'STUDIES|Q4|53/66']",Taylor & Francis
Case Reports in Dentistry,0.7,"DENTISTRY, ORAL SURGERY & MEDICINE|Q4|125/157","['Case', 'Reports', 'Dentistry', 'DENTISTRY', 'ORAL', 'SURGERY', 'MEDICINE|Q4|125/157']",Hindawi
Case Reports in Pediatrics,0.7,PEDIATRICS|Q4|146/186,"['Case', 'Reports', 'Pediatrics', 'PEDIATRICS|Q4|146/186']",Hindawi
COMPUTATIONAL MATHEMATICS AND MATHEMATICAL PHYSICS,0.7,"PHYSICS, MATHEMATICAL|Q4|50/60","['COMPUTATIONAL', 'MATHEMATICS', 'MATHEMATICAL', 'PHYSICS', 'PHYSICS', 'MATHEMATICAL|Q4|50/60']",Pleiades Publishing
Fetal and Pediatric Pathology,0.7,PEDIATRICS|Q4|146/186,"['Fetal', 'Pediatric', 'Pathology', 'PEDIATRICS|Q4|146/186']",Taylor & Francis
International Journal of Education and the Arts,0.7,EDUCATION & EDUCATIONAL RESEARCH|Q3|520/756,"['International', 'Journal', 'Education', 'Arts', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q3|520/756']",International Journal Of Education & The Arts
International Journal of Special Education,0.7,"EDUCATION, SPECIAL|Q4|51/62","['International', 'Journal', 'Special', 'Education', 'EDUCATION', 'SPECIAL|Q4|51/62']",University Of Missouri
JOURNAL OF APICULTURAL SCIENCE,0.7,ENTOMOLOGY|Q4|82/109,"['JOURNAL', 'APICULTURAL', 'SCIENCE', 'ENTOMOLOGY|Q4|82/109']",Research Institute Of Pomology And Floriculture
JOURNAL OF APPLIED ICHTHYOLOGY,0.7,MARINE & FRESHWATER BIOLOGY|Q4|99/119,"['JOURNAL', 'APPLIED', 'ICHTHYOLOGY', 'MARINE', 'FRESHWATER', 'BIOLOGY|Q4|99/119']",Wiley College Of Education
Journal of Vascular Surgery Cases Innovations and Techniques,0.7,SURGERY|Q4|229/290,"['Journal', 'Vascular', 'Surgery', 'Cases', 'Innovations', 'Techniques', 'SURGERY|Q4|229/290']",Elsevier
MACROECONOMIC DYNAMICS,0.7,ECONOMICS|Q3|446/597,"['MACROECONOMIC', 'DYNAMICS', 'ECONOMICS|Q3|446/597']",Cambridge University Press
PACIFIC SCIENCE,0.7,ZOOLOGY|Q4|138/180,"['PACIFIC', 'SCIENCE', 'ZOOLOGY|Q4|138/180']",University Of Hawaii Press
Romanian Journal of European Affairs,0.7,INTERNATIONAL RELATIONS|Q3|112/165,"['Romanian', 'Journal', 'European', 'Affairs', 'INTERNATIONAL', 'RELATIONS|Q3|112/165']",Romanian Institute For Europeean Studies
ACTA VETERINARIA-BEOGRAD,0.7,VETERINARY SCIENCES|Q3|119/167,"['ACTA', 'VETERINARIA-BEOGRAD', 'VETERINARY', 'SCIENCES|Q3|119/167']",University Of Belgrade
Advances in Mathematics of Communications,0.7,"MATHEMATICS, APPLIED|Q3|236/331","['Advances', 'Mathematics', 'Communications', 'MATHEMATICS', 'APPLIED|Q3|236/331']",American Institute Of Mathematical Sciences (Aims)
ARTHROPODA SELECTA,0.7,ENTOMOLOGY|Q4|82/109,"['ARTHROPODA', 'SELECTA', 'ENTOMOLOGY|Q4|82/109']",Russian Entomological Society Faculty Of Veterinary Medicine
Case Reports in Ophthalmological Medicine,0.7,OPHTHALMOLOGY|Q4|83/95,"['Case', 'Reports', 'Ophthalmological', 'Medicine', 'OPHTHALMOLOGY|Q4|83/95']",Hindawi
Enfermeria Clinica,0.7,NURSING|Q4|161/191,"['Enfermeria', 'Clinica', 'NURSING|Q4|161/191']",Elsevier
International Journal of Limnology,0.7,LIMNOLOGY|Q4|22/22,"['International', 'Journal', 'Limnology', 'LIMNOLOGY|Q4|22/22']",International Association Of Theoretical And Applied Limnology
Journal of Chiropractic Education,0.7,"EDUCATION, SCIENTIFIC DISCIPLINES|Q4|64/85","['Journal', 'Chiropractic', 'Education', 'EDUCATION', 'SCIENTIFIC', 'DISCIPLINES|Q4|64/85']",Association Of Chiropractic Colleges
Journal of Computational and Theoretical Transport,0.7,"PHYSICS, MATHEMATICAL|Q4|50/60","['Journal', 'Computational', 'Theoretical', 'Transport', 'PHYSICS', 'MATHEMATICAL|Q4|50/60']",Taylor & Francis
Journal of Education,0.7,EDUCATION & EDUCATIONAL RESEARCH|Q3|520/756,"['Journal', 'Education', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q3|520/756']",Taylor & Francis
Journal of Feline Medicine and Surgery Open Reports,0.7,VETERINARY SCIENCES|Q3|119/167,"['Journal', 'Feline', 'Medicine', 'Surgery', 'Open', 'Reports', 'VETERINARY', 'SCIENCES|Q3|119/167']",Sage Publications
Journal of Gaming and Virtual Worlds,0.7,COMMUNICATION|Q3|158/227,"['Journal', 'Gaming', 'Virtual', 'Worlds', 'COMMUNICATION|Q3|158/227']",Taylor & Francis
Journal of Wrist Surgery,0.7,ORTHOPEDICS|Q4|112/136,"['Journal', 'Wrist', 'Surgery', 'ORTHOPEDICS|Q4|112/136']",Slack Incorporated
Jurnal Komunikasi-Malaysian Journal of Communication,0.7,COMMUNICATION|Q3|158/227,"['Jurnal', 'Komunikasi-Malaysian', 'Journal', 'Communication', 'COMMUNICATION|Q3|158/227']",Universiti Kebangsaan Malaysia Press
Labour-England,0.7,INDUSTRIAL RELATIONS & LABOR|Q4|39/49,"['Labour-England', 'INDUSTRIAL', 'RELATIONS', 'LABOR|Q4|39/49']",Wiley
Language Learning in Higher Education,0.7,EDUCATION & EDUCATIONAL RESEARCH|Q3|520/756,"['Language', 'Learning', 'Higher', 'Education', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q3|520/756']",Equinox Publishing
MCS-Masculinities and Social Change,0.7,SOCIOLOGY|Q3|162/217,"['MCS-Masculinities', 'Social', 'Change', 'SOCIOLOGY|Q3|162/217']",Taylor & Francis
NOTA LEPIDOPTEROLOGICA,0.7,ENTOMOLOGY|Q4|82/109,"['NOTA', 'LEPIDOPTEROLOGICA', 'ENTOMOLOGY|Q4|82/109']",Societas Europaea Lepidopterologica
Recht & Psychiatrie,0.7,PSYCHIATRY|Q4|238/276,"['Recht', 'Psychiatrie', 'PSYCHIATRY|Q4|238/276']",Springer
Revista Internacional de Medicina y Ciencias de la Actividad Fisica y del Deporte,0.7,SPORT SCIENCES|Q4|104/127,"['Revista', 'Internacional', 'de', 'Medicina', 'y', 'Ciencias', 'de', 'la', 'Actividad', 'Fisica', 'y', 'del', 'Deporte', 'SPORT', 'SCIENCES|Q4|104/127']",Universidad Catolica San Antonio De Murcia
Southern Forests-A Journal of Forest Science,0.7,FORESTRY|Q3|63/89,"['Southern', 'Forests-A', 'Journal', 'Forest', 'Science', 'FORESTRY|Q3|63/89']",Society Of American Foresters
Ultrasound Quarterly,0.7,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q4|177/204","['Ultrasound', 'Quarterly', 'RADIOLOGY', 'NUCLEAR', 'MEDICINE', 'MEDICAL', 'IMAGING|Q4|177/204']",Elsevier
ACTA AMAZONICA,0.7,ZOOLOGY|Q4|138/180,"['ACTA', 'AMAZONICA', 'ZOOLOGY|Q4|138/180']",Instituto Nacional De Pesquisas Da Amazonia
Asia Pacific Translation and Intercultural Studies,0.7,LINGUISTICS|Q3|177/297,"['Asia', 'Pacific', 'Translation', 'Intercultural', 'Studies', 'LINGUISTICS|Q3|177/297']",Taylor & Francis
Bollettino di Geofisica Teorica ed Applicata,0.7,GEOCHEMISTRY & GEOPHYSICS|Q4|85/101,"['Bollettino', 'di', 'Geofisica', 'Teorica', 'ed', 'Applicata', 'GEOCHEMISTRY', 'GEOPHYSICS|Q4|85/101']",Istituto Nazionale Di Oceanografia E Di Geofisica Sperimentale (Ogs)
Cartographica,0.7,GEOGRAPHY|Q3|111/171,"['Cartographica', 'GEOGRAPHY|Q3|111/171']",University Of Toronto Press
Educational Research for Social Change,0.7,EDUCATION & EDUCATIONAL RESEARCH|Q3|520/756,"['Educational', 'Research', 'Social', 'Change', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q3|520/756']",Taylor & Francis
HARVARD ENVIRONMENTAL LAW REVIEW,0.7,LAW|Q2|171/421,"['HARVARD', 'ENVIRONMENTAL', 'LAW', 'REVIEW', 'LAW|Q2|171/421']",Harvard University
INTERNATIONAL JOURNAL OF QUANTUM INFORMATION,0.7,QUANTUM SCIENCE & TECHNOLOGY|Q4|23/26,"['INTERNATIONAL', 'JOURNAL', 'QUANTUM', 'INFORMATION', 'QUANTUM', 'SCIENCE', 'TECHNOLOGY|Q4|23/26']",World Scientific Publishing Company
Journal of Forest Economics,0.7,FORESTRY|Q3|63/89,"['Journal', 'Forest', 'Economics', 'FORESTRY|Q3|63/89']",Elsevier Environmental Law Program
Journal of Radiosurgery and SBRT,0.7,SURGERY|Q4|229/290,"['Journal', 'Radiosurgery', 'SBRT', 'SURGERY|Q4|229/290']",Taylor & Francis
Journal of Teaching English for Specific and Academic Purposes,0.7,EDUCATION & EDUCATIONAL RESEARCH|Q3|520/756,"['Journal', 'Teaching', 'English', 'Specific', 'Academic', 'Purposes', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q3|520/756']",Taylor & Francis
MANCHESTER SCHOOL,0.7,ECONOMICS|Q3|446/597,"['MANCHESTER', 'SCHOOL', 'ECONOMICS|Q3|446/597']",Wiley
Modern Stochastics-Theory and Applications,0.7,STATISTICS & PROBABILITY|Q3|126/168,"['Modern', 'Stochastics-Theory', 'Applications', 'STATISTICS', 'PROBABILITY|Q3|126/168']",De Gruyter Open
Nigerian Journal of Clinical Practice,0.7,"MEDICINE, GENERAL & INTERNAL|Q3|207/325","['Nigerian', 'Journal', 'Clinical', 'Practice', 'MEDICINE', 'GENERAL', 'INTERNAL|Q3|207/325']",Association Of General And Private Medical Practitioners Of Nigeria
NUKLEONIKA,0.7,"PHYSICS, NUCLEAR|Q4|19/22","['NUKLEONIKA', 'PHYSICS', 'NUCLEAR|Q4|19/22']",National Centre For Nuclear Research
REDU-Revista de Docencia Universitaria,0.7,EDUCATION & EDUCATIONAL RESEARCH|Q3|520/756,"['REDU-Revista', 'de', 'Docencia', 'Universitaria', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q3|520/756']",Universitat De Valencia
Statistical Theory and Related Fields,0.7,STATISTICS & PROBABILITY|Q3|126/168,"['Statistical', 'Theory', 'Related', 'Fields', 'STATISTICS', 'PROBABILITY|Q3|126/168']",Springer
Canadian Journal of Rural Medicine,0.7,"MEDICINE, GENERAL & INTERNAL|Q3|207/325","['Canadian', 'Journal', 'Rural', 'Medicine', 'MEDICINE', 'GENERAL', 'INTERNAL|Q3|207/325']",Society Of Rural Physicians Of Canada
Clinics in Podiatric Medicine and Surgery,0.7,ORTHOPEDICS|Q4|112/136,"['Clinics', 'Podiatric', 'Medicine', 'Surgery', 'ORTHOPEDICS|Q4|112/136']",Elsevier
Differential Equations & Applications,0.7,"MATHEMATICS, APPLIED|Q3|236/331","['Differential', 'Equations', 'Applications', 'MATHEMATICS', 'APPLIED|Q3|236/331']",Ele-Math
EDUCATION FOR INFORMATION,0.7,INFORMATION SCIENCE & LIBRARY SCIENCE|Q3|104/160,"['EDUCATION', 'INFORMATION', 'INFORMATION', 'SCIENCE', 'LIBRARY', 'SCIENCE|Q3|104/160']",Ios Press
Financial and Credit Activity-Problems of Theory and Practice,0.7,"BUSINESS, FINANCE|Q4|181/231","['Financial', 'Credit', 'Activity-Problems', 'Theory', 'Practice', 'BUSINESS', 'FINANCE|Q4|181/231']",National Academy Of Sciences Of Ukraine
International Medical Case Reports Journal,0.7,"MEDICINE, GENERAL & INTERNAL|Q3|207/325","['International', 'Medical', 'Case', 'Reports', 'Journal', 'MEDICINE', 'GENERAL', 'INTERNAL|Q3|207/325']",Case Medical Research
Journal of Homeland Security and Emergency Management,0.7,PUBLIC ADMINISTRATION|Q4|73/91,"['Journal', 'Homeland', 'Security', 'Emergency', 'Management', 'PUBLIC', 'ADMINISTRATION|Q4|73/91']",Taylor & Francis Institute Of Industrial Economics
Journal of LGBTQ Issues in Counseling,0.7,"PSYCHOLOGY, APPLIED|Q4|99/113","['Journal', 'LGBTQ', 'Issues', 'Counseling', 'PSYCHOLOGY', 'APPLIED|Q4|99/113']",American Counseling Association
Microbiology Australia,0.7,MICROBIOLOGY|Q4|151/161,"['Microbiology', 'Australia', 'MICROBIOLOGY|Q4|151/161']",Australian Society For Microbiology
Sportis-Scientific Technical Journal of School Sport Physical Education and Psychomotricity,0.7,EDUCATION & EDUCATIONAL RESEARCH|Q3|520/756,"['Sportis-Scientific', 'Technical', 'Journal', 'School', 'Sport', 'Physical', 'Education', 'Psychomotricity', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q3|520/756']",Faculty Of Kinesiology
STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS,0.7,"SOCIAL SCIENCES, MATHEMATICAL METHODS|Q4|57/67","['STUDIES', 'NONLINEAR', 'DYNAMICS', 'ECONOMETRICS', 'SOCIAL', 'SCIENCES', 'MATHEMATICAL', 'METHODS|Q4|57/67']",De Gruyter
TPM-Testing Psychometrics Methodology in Applied Psychology,0.7,"PSYCHOLOGY, APPLIED|Q4|99/113","['TPM-Testing', 'Psychometrics', 'Methodology', 'Applied', 'Psychology', 'PSYCHOLOGY', 'APPLIED|Q4|99/113']",Hogrefe Publishing University Of Split
Voprosy Ekonomiki,0.7,ECONOMICS|Q3|446/597,"['Voprosy', 'Ekonomiki', 'ECONOMICS|Q3|446/597']",National Research University Higher School Of Economics
ZEITSCHRIFT FUR GEBURTSHILFE UND NEONATOLOGIE,0.7,PEDIATRICS|Q4|146/186,"['ZEITSCHRIFT', 'FUR', 'GEBURTSHILFE', 'UND', 'NEONATOLOGIE', 'PEDIATRICS|Q4|146/186']",Thieme
Agrarian South-Journal of Political Economy,0.7,ECONOMICS|Q3|446/597,"['Agrarian', 'South-Journal', 'Political', 'Economy', 'ECONOMICS|Q3|446/597']",Taylor & Francis
Baltic Journal of Health and Physical Activity,0.7,SPORT SCIENCES|Q4|104/127,"['Baltic', 'Journal', 'Health', 'Physical', 'Activity', 'SPORT', 'SCIENCES|Q4|104/127']",Sciendo
Case Reports in Nephrology and Dialysis,0.7,UROLOGY & NEPHROLOGY|Q4|109/126,"['Case', 'Reports', 'Nephrology', 'Dialysis', 'UROLOGY', 'NEPHROLOGY|Q4|109/126']",Hindawi
Chinese Journal of Liquid Crystals and Displays,0.7,CRYSTALLOGRAPHY|Q3|23/33,"['Chinese', 'Journal', 'Liquid', 'Crystals', 'Displays', 'CRYSTALLOGRAPHY|Q3|23/33']",Chinese Physical Society
Indian Journal of Plastic Surgery,0.7,SURGERY|Q4|229/290,"['Indian', 'Journal', 'Plastic', 'Surgery', 'SURGERY|Q4|229/290']",Medknow Publications
International Journal of Agriculture and Natural Resources,0.7,"AGRICULTURE, MULTIDISCIPLINARY|Q3|58/89","['International', 'Journal', 'Agriculture', 'Natural', 'Resources', 'AGRICULTURE', 'MULTIDISCIPLINARY|Q3|58/89']",Universidad De La Frontera
Journal of Couple & Relationship Therapy-Innovations in Clinical and Educational Interventions,0.7,"PSYCHOLOGY, CLINICAL|Q4|152/180","['Journal', 'Couple', 'Relationship', 'Therapy-Innovations', 'Clinical', 'Educational', 'Interventions', 'PSYCHOLOGY', 'CLINICAL|Q4|152/180']",Taylor & Francis
Journal of Occupational Therapy Schools and Early Intervention,0.7,"PSYCHOLOGY, EDUCATIONAL|Q4|66/74","['Journal', 'Occupational', 'Therapy', 'Schools', 'Early', 'Intervention', 'PSYCHOLOGY', 'EDUCATIONAL|Q4|66/74']",Taylor & Francis
Journal of Park and Recreation Administration,0.7,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q4|111/139","['Journal', 'Park', 'Recreation', 'Administration', 'HOSPITALITY', 'LEISURE', 'SPORT', 'TOURISM|Q4|111/139']",University Of Minnesota
Maejo International Journal of Science and Technology,0.7,MULTIDISCIPLINARY SCIENCES|Q3|90/134,"['Maejo', 'International', 'Journal', 'Science', 'Technology', 'MULTIDISCIPLINARY', 'SCIENCES|Q3|90/134']",Maejo University
Margin-Journal of Applied Economic Research,0.7,ECONOMICS|Q3|446/597,"['Margin-Journal', 'Applied', 'Economic', 'Research', 'ECONOMICS|Q3|446/597']",Warsaw School Of Economics
New Mathematics and Natural Computation,0.7,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS|Q4|111/135","['New', 'Mathematics', 'Natural', 'Computation', 'MATHEMATICS', 'INTERDISCIPLINARY', 'APPLICATIONS|Q4|111/135']",World Scientific Publishing Company
Psyecology-Bilingual Journal of Environmental Psychology-Revista Bilingue de Psicologia Ambiental,0.7,"PSYCHOLOGY, MULTIDISCIPLINARY|Q4|164/218","['Psyecology-Bilingual', 'Journal', 'Environmental', 'Psychology-Revista', 'Bilingue', 'de', 'Psicologia', 'Ambiental', 'PSYCHOLOGY', 'MULTIDISCIPLINARY|Q4|164/218']",Psyecology
RECORDS OF THE AUSTRALIAN MUSEUM,0.7,ZOOLOGY|Q4|138/180,"['RECORDS', 'AUSTRALIAN', 'MUSEUM', 'ZOOLOGY|Q4|138/180']",Australian Museum
Relaciones,0.7,ANTHROPOLOGY|Q3|81/139,"['Relaciones', 'ANTHROPOLOGY|Q3|81/139']",El Colegio De Michoacan
Reproductive and Developmental Medicine,0.7,OBSTETRICS & GYNECOLOGY|Q4|111/136,"['Reproductive', 'Developmental', 'Medicine', 'OBSTETRICS', 'GYNECOLOGY|Q4|111/136']",Reproductive And Developmental Medicine
THALASSAS,0.7,OCEANOGRAPHY|Q4|59/65,"['THALASSAS', 'OCEANOGRAPHY|Q4|59/65']",Hellenic Centre For Marine Research
Analysis of Verbal Behavior,0.7,"PSYCHOLOGY, MULTIDISCIPLINARY|Q4|164/218","['Analysis', 'Verbal', 'Behavior', 'PSYCHOLOGY', 'MULTIDISCIPLINARY|Q4|164/218']",Taylor & Francis
Archivos Argentinos de Pediatria,0.7,PEDIATRICS|Q4|146/186,"['Archivos', 'Argentinos', 'de', 'Pediatria', 'PEDIATRICS|Q4|146/186']",Sociedad Argentina De Pediatria
BOIS ET FORETS DES TROPIQUES,0.7,FORESTRY|Q3|63/89,"['BOIS', 'ET', 'FORETS', 'DES', 'TROPIQUES', 'FORESTRY|Q3|63/89']",Centre De Cooperation Internationale En Recherche Agronomique Pour Le Developpement (Cirad)
Chemistry-Didactics-Ecology-Metrology,0.7,MULTIDISCIPLINARY SCIENCES|Q3|90/134,"['Chemistry-Didactics-Ecology-Metrology', 'MULTIDISCIPLINARY', 'SCIENCES|Q3|90/134']",Constanta Maritime University
Current Surgery Reports,0.7,SURGERY|Q4|229/290,"['Current', 'Surgery', 'Reports', 'SURGERY|Q4|229/290']",Springer
Journal of Cultural Geography,0.7,GEOGRAPHY|Q3|111/171,"['Journal', 'Cultural', 'Geography', 'GEOGRAPHY|Q3|111/171']",Taylor & Francis
Journal of Insect Biodiversity,0.7,ENTOMOLOGY|Q4|82/109,"['Journal', 'Insect', 'Biodiversity', 'ENTOMOLOGY|Q4|82/109']",Entomological Society Of Iran
JOURNAL OF PLANT PROTECTION RESEARCH,0.7,PLANT SCIENCES|Q4|224/265,"['JOURNAL', 'PLANT', 'PROTECTION', 'RESEARCH', 'PLANT', 'SCIENCES|Q4|224/265']",Polish Academy Of Sciences
Journal of Trauma Nursing,0.7,NURSING|Q4|161/191,"['Journal', 'Trauma', 'Nursing', 'NURSING|Q4|161/191']",Society Of Trauma Nurses
JOURNAL OF UNIVERSAL COMPUTER SCIENCE,0.7,"COMPUTER SCIENCE, THEORY & METHODS|Q3|104/143","['JOURNAL', 'UNIVERSAL', 'COMPUTER', 'SCIENCE', 'COMPUTER', 'SCIENCE', 'THEORY', 'METHODS|Q3|104/143']",Journal Of Universal Computer Science Institute Of Plant Protection-National Research Institute
PSYCHOTHERAPIE PSYCHOSOMATIK MEDIZINISCHE PSYCHOLOGIE,0.7,"PSYCHOLOGY, CLINICAL|Q4|152/180","['PSYCHOTHERAPIE', 'PSYCHOSOMATIK', 'MEDIZINISCHE', 'PSYCHOLOGIE', 'PSYCHOLOGY', 'CLINICAL|Q4|152/180']",Thieme
Review of Economic Analysis,0.7,ECONOMICS|Q3|446/597,"['Review', 'Economic', 'Analysis', 'ECONOMICS|Q3|446/597']",De Gruyter
Revista de Psicologia del Deporte,0.7,"PSYCHOLOGY, APPLIED|Q4|99/113","['Revista', 'de', 'Psicologia', 'del', 'Deporte', 'PSYCHOLOGY', 'APPLIED|Q4|99/113']",Colegio Oficial De Psicologos De Madrid
Revista Espanola de Sociologia,0.7,SOCIOLOGY|Q3|162/217,"['Revista', 'Espanola', 'de', 'Sociologia', 'SOCIOLOGY|Q3|162/217']",Centro De Investigaciones Sociologicas (Cis)
TECHNOLOGY AND DISABILITY,0.7,REHABILITATION|Q4|146/169,"['TECHNOLOGY', 'DISABILITY', 'REHABILITATION|Q4|146/169']",Taylor & Francis
TRANSACTIONS OF THE JAPAN SOCIETY FOR AERONAUTICAL AND SPACE SCIENCES,0.7,"ENGINEERING, AEROSPACE|Q4|40/52","['TRANSACTIONS', 'JAPAN', 'SOCIETY', 'AERONAUTICAL', 'SPACE', 'SCIENCES', 'ENGINEERING', 'AEROSPACE|Q4|40/52']",Japan Society For Aeronautical And Space Sciences
American Journal of Health Education,0.7,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q4|364/403","['American', 'Journal', 'Health', 'Education', 'PUBLIC', 'ENVIRONMENTAL', 'OCCUPATIONAL', 'HEALTH|Q4|364/403']",Taylor & Francis
Cerne,0.7,FORESTRY|Q3|63/89,"['Cerne', 'FORESTRY|Q3|63/89']",Universidade Federal De Lavras
Clinical Laboratory,0.7,MEDICAL LABORATORY TECHNOLOGY|Q4|29/30,"['Clinical', 'Laboratory', 'MEDICAL', 'LABORATORY', 'TECHNOLOGY|Q4|29/30']",De Gruyter Open
Current Obstetrics and Gynecology Reports,0.7,OBSTETRICS & GYNECOLOGY|Q4|111/136,"['Current', 'Obstetrics', 'Gynecology', 'Reports', 'OBSTETRICS', 'GYNECOLOGY|Q4|111/136']",Springer
Ergonomics in Design,0.7,ERGONOMICS|Q4|21/24,"['Ergonomics', 'Design', 'ERGONOMICS|Q4|21/24']",Human Factors And Ergonomics Society
EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,0.7,HORTICULTURE|Q4|31/38,"['EUROPEAN', 'JOURNAL', 'HORTICULTURAL', 'SCIENCE', 'HORTICULTURE|Q4|31/38']",Verlag Eugen Ulmer
