Name,JIF,Category,Keywords,Publisher,Decsion Time
Contemporary Problems of Ecology,0.7,ECOLOGY|Q4|171/195,"['Contemporary', 'Problems', 'Ecology', 'ECOLOGY|Q4|171/195']",Springer,30
Egyptian Pharmaceutical Journal,0.7,PHARMACOLOGY & PHARMACY|Q4|317/354,"['Egyptian', 'Pharmaceutical', 'Journal', 'PHARMACOLOGY', 'PHARMACY|Q4|317/354']",Egyptian Pharmaceutical Society Institute Of Biological Research Sinisa Stankovic,30
Financial Internet Quarterly,0.7,ECONOMICS|Q3|446/597,"['Financial', 'Internet', 'Quarterly', 'ECONOMICS|Q3|446/597']",Taylor & Francis,30
Giornale Italiano di Cardiologia,0.7,CARDIAC & CARDIOVASCULAR SYSTEMS|Q4|187/220,"['Giornale', 'Italiano', 'di', 'Cardiologia', 'CARDIAC', 'CARDIOVASCULAR', 'SYSTEMS|Q4|187/220']",Il Pensiero Scientifico Editore,30
Indonesian Biomedical Journal,0.7,"MEDICINE, RESEARCH & EXPERIMENTAL|Q4|165/189","['Indonesian', 'Biomedical', 'Journal', 'MEDICINE', 'RESEARCH', 'EXPERIMENTAL|Q4|165/189']",Indonesian Medical Association,28
INFORMATION PROCESSING LETTERS,0.7,"COMPUTER SCIENCE, INFORMATION SYSTEMS|Q4|212/249","['INFORMATION', 'PROCESSING', 'LETTERS', 'COMPUTER', 'SCIENCE', 'INFORMATION', 'SYSTEMS|Q4|212/249']",Elsevier,30
International Journal of Advanced Computer Science and Applications,0.7,"COMPUTER SCIENCE, THEORY & METHODS|Q3|104/143","['International', 'Journal', 'Advanced', 'Computer', 'Science', 'Applications', 'COMPUTER', 'SCIENCE', 'THEORY', 'METHODS|Q3|104/143']",Science And Engineering Research Support Society,30
International Journal of System Dynamics Applications,0.7,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|Q4|178/197","['International', 'Journal', 'System', 'Dynamics', 'Applications', 'COMPUTER', 'SCIENCE', 'ARTIFICIAL', 'INTELLIGENCE|Q4|178/197']",Igi Global,60
Jordan Journal of Electrical Engineering,0.7,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q4|308/352","['Jordan', 'Journal', 'Electrical', 'Engineering', 'ENGINEERING', 'ELECTRICAL', 'ELECTRONIC|Q4|308/352']",Jordan Engineers Association,30
JOURNAL OF HIGH SPEED NETWORKS,0.7,"COMPUTER SCIENCE, INFORMATION SYSTEMS|Q4|212/249","['JOURNAL', 'HIGH', 'SPEED', 'NETWORKS', 'COMPUTER', 'SCIENCE', 'INFORMATION', 'SYSTEMS|Q4|212/249']",Ios Press,30
Journal of the Saudi Heart Association,0.7,CARDIAC & CARDIOVASCULAR SYSTEMS|Q4|187/220,"['Journal', 'Saudi', 'Heart', 'Association', 'CARDIAC', 'CARDIOVASCULAR', 'SYSTEMS|Q4|187/220']",Saudi Heart Association,21
Management Research and Practice,0.7,MANAGEMENT|Q4|353/401,"['Management', 'Research', 'Practice', 'MANAGEMENT|Q4|353/401']",Henry Stewart Publications,60
Mediterranean Journal of Nutrition and Metabolism,0.7,NUTRITION & DIETETICS|Q4|97/114,"['Mediterranean', 'Journal', 'Nutrition', 'Metabolism', 'NUTRITION', 'DIETETICS|Q4|97/114']",Editura Academiei Romane,30
MOLECULAR CRYSTALS AND LIQUID CRYSTALS,0.7,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q4|399/438","['MOLECULAR', 'CRYSTALS', 'LIQUID', 'CRYSTALS', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q4|399/438']",Taylor & Francis,30
Nonlinear Optics Quantum Optics-Concepts in Modern Optics,0.7,QUANTUM SCIENCE & TECHNOLOGY|Q4|23/26,"['Nonlinear', 'Optics', 'Quantum', 'Optics-Concepts', 'Modern', 'Optics', 'QUANTUM', 'SCIENCE', 'TECHNOLOGY|Q4|23/26']",Taylor & Francis,60
RBGN-Revista Brasileira de Gestao de Negocios,0.7,MANAGEMENT|Q4|353/401,"['RBGN-Revista', 'Brasileira', 'de', 'Gestao', 'de', 'Negocios', 'MANAGEMENT|Q4|353/401']",Universidade Federal De Pernambuco,30
Research in Cold and Arid Regions,0.7,"GEOGRAPHY, PHYSICAL|Q4|55/65","['Research', 'Cold', 'Arid', 'Regions', 'GEOGRAPHY', 'PHYSICAL|Q4|55/65']",Springer,30
Studies in Business and Economics,0.7,ECONOMICS|Q3|446/597,"['Studies', 'Business', 'Economics', 'ECONOMICS|Q3|446/597']",University Of Bucharest,30
Tuberkuloz ve Toraks-Tuberculosis and Thorax,0.7,RESPIRATORY SYSTEM|Q4|91/100,"['Tuberkuloz', 've', 'Toraks-Tuberculosis', 'Thorax', 'RESPIRATORY', 'SYSTEM|Q4|91/100']",Turkish Thoracic Society,30
Acta Clinica Croatica,0.7,"MEDICINE, GENERAL & INTERNAL|Q3|207/325","['Acta', 'Clinica', 'Croatica', 'MEDICINE', 'GENERAL', 'INTERNAL|Q3|207/325']",University Of Zagreb School Of Medicine,30
Advanced Biomedical Research,0.7,"MEDICINE, RESEARCH & EXPERIMENTAL|Q4|165/189","['Advanced', 'Biomedical', 'Research', 'MEDICINE', 'RESEARCH', 'EXPERIMENTAL|Q4|165/189']",Hindawi Limited Faculty Of Business And Administration,30
ADVANCES IN COMPLEX SYSTEMS,0.7,MULTIDISCIPLINARY SCIENCES|Q3|90/134,"['ADVANCES', 'COMPLEX', 'SYSTEMS', 'MULTIDISCIPLINARY', 'SCIENCES|Q3|90/134']",World Scientific Publishing Company,45
AME Case Reports,0.7,"MEDICINE, GENERAL & INTERNAL|Q3|207/325","['AME', 'Case', 'Reports', 'MEDICINE', 'GENERAL', 'INTERNAL|Q3|207/325']",Ame Publishing Company,30
ARCHIVES OF METALLURGY AND MATERIALS,0.7,METALLURGY & METALLURGICAL ENGINEERING|Q4|70/90,"['ARCHIVES', 'METALLURGY', 'MATERIALS', 'METALLURGY', 'METALLURGICAL', 'ENGINEERING|Q4|70/90']",Silesian University Of Technology,30
Artificial Satellites-Journal of Planetary Geodesy,0.7,ASTRONOMY & ASTROPHYSICS|Q4|70/84,"['Artificial', 'Satellites-Journal', 'Planetary', 'Geodesy', 'ASTRONOMY', 'ASTROPHYSICS|Q4|70/84']",Springer,30
Bahrain Medical Bulletin,0.7,"MEDICINE, GENERAL & INTERNAL|Q3|207/325","['Bahrain', 'Medical', 'Bulletin', 'MEDICINE', 'GENERAL', 'INTERNAL|Q3|207/325']",Ministry Of Health,60
Case Reports in Hematology,0.7,HEMATOLOGY|Q4|86/97,"['Case', 'Reports', 'Hematology', 'HEMATOLOGY|Q4|86/97']",Hindawi,28
Chinese Public Administration Review,0.7,PUBLIC ADMINISTRATION|Q4|73/91,"['Chinese', 'Public', 'Administration', 'Review', 'PUBLIC', 'ADMINISTRATION|Q4|73/91']",Taylor & Francis,60
Diabetologie und Stoffwechsel,0.7,ENDOCRINOLOGY & METABOLISM|Q4|164/186,"['Diabetologie', 'und', 'Stoffwechsel', 'ENDOCRINOLOGY', 'METABOLISM|Q4|164/186']",Thieme Kingdom Of Bahrain,14
Dusunen Adam-Journal of Psychiatry and Neurological Sciences,0.7,PSYCHIATRY|Q4|238/276,"['Dusunen', 'Adam-Journal', 'Psychiatry', 'Neurological', 'Sciences', 'PSYCHIATRY|Q4|238/276']",Turkish Neuropsychiatric Society,30
FLUORIDE,0.7,TOXICOLOGY|Q4|104/106,"['FLUORIDE', 'TOXICOLOGY|Q4|104/106']",International Society For Fluoride Research,30
Hacienda Publica Espanola-Review of Public Economics,0.7,ECONOMICS|Q3|446/597,"['Hacienda', 'Publica', 'Espanola-Review', 'Public', 'Economics', 'ECONOMICS|Q3|446/597']",Instituto De Estudios Fiscales,30
IEICE TRANSACTIONS ON COMMUNICATIONS,0.7,TELECOMMUNICATIONS|Q4|106/119,"['IEICE', 'TRANSACTIONS', 'COMMUNICATIONS', 'TELECOMMUNICATIONS|Q4|106/119']",Institute Of Electronics,60
Informacios Tarsadalom,0.7,INFORMATION SCIENCE & LIBRARY SCIENCE|Q3|104/160,"['Informacios', 'Tarsadalom', 'INFORMATION', 'SCIENCE', 'LIBRARY', 'SCIENCE|Q3|104/160']",Sciendo,30
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,0.7,INFORMATION SCIENCE & LIBRARY SCIENCE|Q3|104/160,"['INFORMATION', 'RESEARCH-AN', 'INTERNATIONAL', 'ELECTRONIC', 'JOURNAL', 'INFORMATION', 'SCIENCE', 'LIBRARY', 'SCIENCE|Q3|104/160']",Professor T.D. Wilson,30
Journal of Insurance Issues,0.7,"BUSINESS, FINANCE|Q4|181/231","['Journal', 'Insurance', 'Issues', 'BUSINESS', 'FINANCE|Q4|181/231']",Western Risk And Insurance Association Information And Communication Engineers,90
Journal of Vibroengineering,0.7,"ENGINEERING, MECHANICAL|Q4|160/180","['Journal', 'Vibroengineering', 'ENGINEERING', 'MECHANICAL|Q4|160/180']",Kaunas University Of Technology,30
Led i Sneg-Ice and Snow,0.7,"GEOSCIENCES, MULTIDISCIPLINARY|Q4|218/253","['Led', 'i', 'Sneg-Ice', 'Snow', 'GEOSCIENCES', 'MULTIDISCIPLINARY|Q4|218/253']",Pleiades Publishing,30
Leukemia Research Reports,0.7,ONCOLOGY|Q4|297/322,"['Leukemia', 'Research', 'Reports', 'ONCOLOGY|Q4|297/322']",Elsevier,45
Metallurgical & Materials Engineering,0.7,METALLURGY & METALLURGICAL ENGINEERING|Q4|70/90,"['Metallurgical', 'Materials', 'Engineering', 'METALLURGY', 'METALLURGICAL', 'ENGINEERING|Q4|70/90']",Association Of Metallurgical Engineers Of Serbia,30
Microbiology Resource Announcements,0.7,MICROBIOLOGY|Q4|151/161,"['Microbiology', 'Resource', 'Announcements', 'MICROBIOLOGY|Q4|151/161']",American Society For Microbiology,21
MICROELECTRONICS INTERNATIONAL,0.7,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q4|399/438","['MICROELECTRONICS', 'INTERNATIONAL', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q4|399/438']",Taylor & Francis,40
ORGANIC SYNTHESES,0.7,"CHEMISTRY, ORGANIC|Q4|52/58","['ORGANIC', 'SYNTHESES', 'CHEMISTRY', 'ORGANIC|Q4|52/58']",Organic Syntheses,30
Polish Journal of Medical Physics and Engineering,0.7,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q4|177/204","['Polish', 'Journal', 'Medical', 'Physics', 'Engineering', 'RADIOLOGY', 'NUCLEAR', 'MEDICINE', 'MEDICAL', 'IMAGING|Q4|177/204']",Polish Academy Of Sciences,30
Power Electronics and Drives,0.7,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q4|308/352","['Power', 'Electronics', 'Drives', 'ENGINEERING', 'ELECTRICAL', 'ELECTRONIC|Q4|308/352']",Taylor & Francis,30
QUEUEING SYSTEMS,0.7,OPERATIONS RESEARCH & MANAGEMENT SCIENCE|Q4|99/106,"['QUEUEING', 'SYSTEMS', 'OPERATIONS', 'RESEARCH', 'MANAGEMENT', 'SCIENCE|Q4|99/106']",Springer,60
Studia Geotechnica et Mechanica,0.7,MECHANICS|Q4|151/170,"['Studia', 'Geotechnica', 'et', 'Mechanica', 'MECHANICS|Q4|151/170']",Wroclaw University Of Science And Technology Committee Of Medical Physics,30
Tecciencia,0.7,"ENGINEERING, MULTIDISCIPLINARY|Q3|125/179","['Tecciencia', 'ENGINEERING', 'MULTIDISCIPLINARY|Q3|125/179']",Escuela Colombiana De Ingenieria Julio Garavito,30
Case Reports in Oncology,0.7,ONCOLOGY|Q4|297/322,"['Case', 'Reports', 'Oncology', 'ONCOLOGY|Q4|297/322']",Karger,14
disP,0.7,REGIONAL & URBAN PLANNING|Q4|49/54,"['disP', 'REGIONAL', 'URBAN', 'PLANNING|Q4|49/54']",Universitat Politecnica De Catalunya,30
Earth Sciences Research Journal,0.7,"GEOSCIENCES, MULTIDISCIPLINARY|Q4|218/253","['Earth', 'Sciences', 'Research', 'Journal', 'GEOSCIENCES', 'MULTIDISCIPLINARY|Q4|218/253']",Universidad Nacional De Colombia,30
European Transport-Trasporti Europei,0.7,TRANSPORTATION|Q4|53/57,"['European', 'Transport-Trasporti', 'Europei', 'TRANSPORTATION|Q4|53/57']","Rome University ""La Sapienza""",90
GetMobile-Mobile Computing & Communications Review,0.7,TELECOMMUNICATIONS|Q4|106/119,"['GetMobile-Mobile', 'Computing', 'Communications', 'Review', 'TELECOMMUNICATIONS|Q4|106/119']",Association For Computing Machinery (Acm),30
Indian Journal of Natural Products and Resources,0.7,PLANT SCIENCES|Q4|224/265,"['Indian', 'Journal', 'Natural', 'Products', 'Resources', 'PLANT', 'SCIENCES|Q4|224/265']",National Institute Of Science Communication And Information Resources (Niscair),45
International Journal of Business and Society,0.7,BUSINESS|Q4|261/302,"['International', 'Journal', 'Business', 'Society', 'BUSINESS|Q4|261/302']",Inderscience Enterprises Ltd,60
International Journal of Maritime Engineering,0.7,"ENGINEERING, MARINE|Q4|19/25","['International', 'Journal', 'Maritime', 'Engineering', 'ENGINEERING', 'MARINE|Q4|19/25']",Royal Institution Of Naval Architects,30
International Journal of Organizational Leadership,0.7,MANAGEMENT|Q4|353/401,"['International', 'Journal', 'Organizational', 'Leadership', 'MANAGEMENT|Q4|353/401']",Igi Global,30
Journal of Cardiovascular Echography,0.7,CARDIAC & CARDIOVASCULAR SYSTEMS|Q4|187/220,"['Journal', 'Cardiovascular', 'Echography', 'CARDIAC', 'CARDIOVASCULAR', 'SYSTEMS|Q4|187/220']",Italian Society Of Cardiovascular Echography,30
Journal of Pure and Applied Microbiology,0.7,MICROBIOLOGY|Q4|151/161,"['Journal', 'Pure', 'Applied', 'Microbiology', 'MICROBIOLOGY|Q4|151/161']",Medknow Publications,30
Natural Products Journal,0.7,"CHEMISTRY, MEDICINAL|Q4|71/72","['Natural', 'Products', 'Journal', 'CHEMISTRY', 'MEDICINAL|Q4|71/72']",Hindawi,30
OPTICA APPLICATA,0.7,OPTICS|Q4|107/119,"['OPTICA', 'APPLICATA', 'OPTICS|Q4|107/119']",University Of Wroclaw,60
PATTERN RECOGNITION AND IMAGE ANALYSIS,0.7,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS|Q4|152/169","['PATTERN', 'RECOGNITION', 'IMAGE', 'ANALYSIS', 'COMPUTER', 'SCIENCE', 'INTERDISCIPLINARY', 'APPLICATIONS|Q4|152/169']",Pleiades Publishing,30
PRESENCE-Virtual and Augmented Reality,0.7,"COMPUTER SCIENCE, SOFTWARE ENGINEERING|Q4|117/131","['PRESENCE-Virtual', 'Augmented', 'Reality', 'COMPUTER', 'SCIENCE', 'SOFTWARE', 'ENGINEERING|Q4|117/131']",Mit Press,37
Zeitschrift fur Palliativmedizin,0.7,HEALTH CARE SCIENCES & SERVICES|Q4|158/174,"['Zeitschrift', 'fur', 'Palliativmedizin', 'HEALTH', 'CARE', 'SCIENCES', 'SERVICES|Q4|158/174']",Springer,14
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,0.7,"COMPUTER SCIENCE, INFORMATION SYSTEMS|Q4|212/249","['ACM', 'Transactions', 'Modeling', 'Performance', 'Evaluation', 'Computing', 'Systems', 'COMPUTER', 'SCIENCE', 'INFORMATION', 'SYSTEMS|Q4|212/249']",Association For Computing Machinery (Acm),60
Advances in Electrical and Computer Engineering,0.7,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q4|308/352","['Advances', 'Electrical', 'Computer', 'Engineering', 'ENGINEERING', 'ELECTRICAL', 'ELECTRONIC|Q4|308/352']",Sciendo,30
Arts and the Market,0.7,BUSINESS|Q4|261/302,"['Arts', 'Market', 'BUSINESS|Q4|261/302']",Taylor & Francis,53
AT-Automatisierungstechnik,0.7,AUTOMATION & CONTROL SYSTEMS|Q4|76/84,"['AT-Automatisierungstechnik', 'AUTOMATION', 'CONTROL', 'SYSTEMS|Q4|76/84']",Oldenbourg Wissenschaftsverlag Gmbh,30
Case Reports in Immunology,0.7,IMMUNOLOGY|Q4|176/181,"['Case', 'Reports', 'Immunology', 'IMMUNOLOGY|Q4|176/181']",Hindawi,21
Eco mont-Journal on Protected Mountain Areas Research,0.7,ECOLOGY|Q4|171/195,"['Eco', 'mont-Journal', 'Protected', 'Mountain', 'Areas', 'Research', 'ECOLOGY|Q4|171/195']",Sciendo,30
Engineering Review,0.7,"ENGINEERING, MULTIDISCIPLINARY|Q3|125/179","['Engineering', 'Review', 'ENGINEERING', 'MULTIDISCIPLINARY|Q3|125/179']",Sciendo,30
FOOD SCIENCE AND TECHNOLOGY RESEARCH,0.7,FOOD SCIENCE & TECHNOLOGY|Q4|152/173,"['FOOD', 'SCIENCE', 'TECHNOLOGY', 'RESEARCH', 'FOOD', 'SCIENCE', 'TECHNOLOGY|Q4|152/173']",Japanese Society For Food Science And Technology,45
INDIAN JOURNAL OF ENGINEERING AND MATERIALS SCIENCES,0.7,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q4|399/438","['INDIAN', 'JOURNAL', 'ENGINEERING', 'MATERIALS', 'SCIENCES', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q4|399/438']",National Institute Of Science Communication And Information Resources (Niscair),45
Indian Journal of Hematology and Blood Transfusion,0.7,HEMATOLOGY|Q4|86/97,"['Indian', 'Journal', 'Hematology', 'Blood', 'Transfusion', 'HEMATOLOGY|Q4|86/97']",Indian Society Of Hematology & Blood Transfusion,30
INTEGRATED FERROELECTRICS,0.7,"PHYSICS, CONDENSED MATTER|Q4|73/79","['INTEGRATED', 'FERROELECTRICS', 'PHYSICS', 'CONDENSED', 'MATTER|Q4|73/79']",Gordon And Breach Science Publishers,60
INTERNATIONAL APPLIED MECHANICS,0.7,MECHANICS|Q4|151/170,"['INTERNATIONAL', 'APPLIED', 'MECHANICS', 'MECHANICS|Q4|151/170']",Springer,30
International Food Research Journal,0.7,FOOD SCIENCE & TECHNOLOGY|Q4|152/173,"['International', 'Food', 'Research', 'Journal', 'FOOD', 'SCIENCE', 'TECHNOLOGY|Q4|152/173']",Universiti Putra Malaysia Press,60
International Journal of Heat and Technology,0.7,THERMODYNAMICS|Q4|69/76,"['International', 'Journal', 'Heat', 'Technology', 'THERMODYNAMICS|Q4|69/76']",Taylor & Francis,30
International Journal of Materials Research,0.7,METALLURGY & METALLURGICAL ENGINEERING|Q4|70/90,"['International', 'Journal', 'Materials', 'Research', 'METALLURGY', 'METALLURGICAL', 'ENGINEERING|Q4|70/90']",Carl Hanser Verlag,30
Journal of Climate Change,0.7,METEOROLOGY & ATMOSPHERIC SCIENCES|Q4|108/110,"['Journal', 'Climate', 'Change', 'METEOROLOGY', 'ATMOSPHERIC', 'SCIENCES|Q4|108/110']",Sciendo,30
Journal of Investment Management,0.7,"BUSINESS, FINANCE|Q4|181/231","['Journal', 'Investment', 'Management', 'BUSINESS', 'FINANCE|Q4|181/231']",Journal Of Investment Management,60
JOURNAL OF MEDICAL INVESTIGATION,0.7,"MEDICINE, RESEARCH & EXPERIMENTAL|Q4|165/189","['JOURNAL', 'MEDICAL', 'INVESTIGATION', 'MEDICINE', 'RESEARCH', 'EXPERIMENTAL|Q4|165/189']",Tohoku University Medical Press,14
Journal of Reports in Pharmaceutical Sciences,0.7,PHARMACOLOGY & PHARMACY|Q4|317/354,"['Journal', 'Reports', 'Pharmaceutical', 'Sciences', 'PHARMACOLOGY', 'PHARMACY|Q4|317/354']",Medknow Publications,30
Journal of Sport and Health Research,0.7,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q4|111/139","['Journal', 'Sport', 'Health', 'Research', 'HOSPITALITY', 'LEISURE', 'SPORT', 'TOURISM|Q4|111/139']",Universidad Catolica San Antonio De Murcia,90
Journal of the Geological Society of Korea,0.7,"GEOSCIENCES, MULTIDISCIPLINARY|Q4|218/253","['Journal', 'Geological', 'Society', 'Korea', 'GEOSCIENCES', 'MULTIDISCIPLINARY|Q4|218/253']",Geological Society Of Korea,30
KOVOVE MATERIALY-METALLIC MATERIALS,0.7,METALLURGY & METALLURGICAL ENGINEERING|Q4|70/90,"['KOVOVE', 'MATERIALY-METALLIC', 'MATERIALS', 'METALLURGY', 'METALLURGICAL', 'ENGINEERING|Q4|70/90']",Slovak Academy Of Sciences,60
Radiologic Technology,0.7,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q4|177/204","['Radiologic', 'Technology', 'RADIOLOGY', 'NUCLEAR', 'MEDICINE', 'MEDICAL', 'IMAGING|Q4|177/204']",American Society Of Radiologic Technologists,30
Review of Development Finance,0.7,"BUSINESS, FINANCE|Q4|181/231","['Review', 'Development', 'Finance', 'BUSINESS', 'FINANCE|Q4|181/231']",Elsevier,30
REVUE D ECONOMIE POLITIQUE,0.7,POLITICAL SCIENCE|Q3|221/317,"['REVUE', 'D', 'ECONOMIE', 'POLITIQUE', 'POLITICAL', 'SCIENCE|Q3|221/317']",Dalloz,60
REVUE DE MEDECINE INTERNE,0.7,"MEDICINE, GENERAL & INTERNAL|Q3|207/325","['REVUE', 'DE', 'MEDECINE', 'INTERNE', 'MEDICINE', 'GENERAL', 'INTERNAL|Q3|207/325']",Elsevier,30
SAE International Journal of Transportation Safety,0.7,TRANSPORTATION SCIENCE & TECHNOLOGY|Q4|61/72,"['SAE', 'International', 'Journal', 'Transportation', 'Safety', 'TRANSPORTATION', 'SCIENCE', 'TECHNOLOGY|Q4|61/72']",Sae International,30
AD-minister,0.7,BUSINESS|Q4|261/302,"['AD-minister', 'BUSINESS|Q4|261/302']",Emerald,30
Clinical Diabetology,0.7,ENDOCRINOLOGY & METABOLISM|Q4|164/186,"['Clinical', 'Diabetology', 'ENDOCRINOLOGY', 'METABOLISM|Q4|164/186']",Thieme,14
COMPUTING AND INFORMATICS,0.7,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|Q4|178/197","['COMPUTING', 'INFORMATICS', 'COMPUTER', 'SCIENCE', 'ARTIFICIAL', 'INTELLIGENCE|Q4|178/197']",Slovak Academy Of Sciences,60
International Journal of Biomedical Engineering and Technology,0.7,"ENGINEERING, BIOMEDICAL|Q4|117/122","['International', 'Journal', 'Biomedical', 'Engineering', 'Technology', 'ENGINEERING', 'BIOMEDICAL|Q4|117/122']",Inderscience Enterprises Ltd,90
International Journal of Energy Optimization and Engineering,0.7,ENERGY & FUELS|Q4|158/170,"['International', 'Journal', 'Energy', 'Optimization', 'Engineering', 'ENERGY', 'FUELS|Q4|158/170']",Taylor & Francis,60
International Journal of Indian Culture and Business Management,0.7,BUSINESS|Q4|261/302,"['International', 'Journal', 'Indian', 'Culture', 'Business', 'Management', 'BUSINESS|Q4|261/302']",Igi Global,90
Journal AWWA,0.7,WATER RESOURCES|Q4|120/127,"['Journal', 'AWWA', 'WATER', 'RESOURCES|Q4|120/127']",American Water Works Association,30
Journal of Elementology,0.7,ENVIRONMENTAL SCIENCES|Q4|337/358,"['Journal', 'Elementology', 'ENVIRONMENTAL', 'SCIENCES|Q4|337/358']",Institute Of Soil Science And Plant Cultivation-State Research Institute,30
Journal of Fluid Science and Technology,0.7,MECHANICS|Q4|151/170,"['Journal', 'Fluid', 'Science', 'Technology', 'MECHANICS|Q4|151/170']",Japan Society Of Fluid Mechanics,30
JOURNAL OF THE TORREY BOTANICAL SOCIETY,0.7,PLANT SCIENCES|Q4|224/265,"['JOURNAL', 'TORREY', 'BOTANICAL', 'SOCIETY', 'PLANT', 'SCIENCES|Q4|224/265']",Torrey Botanical Society,40
LCGC North America,0.7,"CHEMISTRY, ANALYTICAL|Q4|99/106","['LCGC', 'North', 'America', 'CHEMISTRY', 'ANALYTICAL|Q4|99/106']",Ubm,60
MATERIALS SCIENCE,0.7,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q4|399/438","['MATERIALS', 'SCIENCE', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q4|399/438']",Elsevier,28
Mausam,0.7,METEOROLOGY & ATMOSPHERIC SCIENCES|Q4|108/110,"['Mausam', 'METEOROLOGY', 'ATMOSPHERIC', 'SCIENCES|Q4|108/110']",India Meteorological Department,60
Methods and Objects of Chemical Analysis,0.7,"CHEMISTRY, ANALYTICAL|Q4|99/106","['Methods', 'Objects', 'Chemical', 'Analysis', 'CHEMISTRY', 'ANALYTICAL|Q4|99/106']",Springer,30
Radiologie,0.7,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q4|177/204","['Radiologie', 'RADIOLOGY', 'NUCLEAR', 'MEDICINE', 'MEDICAL', 'IMAGING|Q4|177/204']",Springer,21
Research Reports in Clinical Cardiology,0.7,CARDIAC & CARDIOVASCULAR SYSTEMS|Q4|187/220,"['Research', 'Reports', 'Clinical', 'Cardiology', 'CARDIAC', 'CARDIOVASCULAR', 'SYSTEMS|Q4|187/220']",Springer,30
SAE International Journal of Electrified Vehicles,0.7,TRANSPORTATION SCIENCE & TECHNOLOGY|Q4|61/72,"['SAE', 'International', 'Journal', 'Electrified', 'Vehicles', 'TRANSPORTATION', 'SCIENCE', 'TECHNOLOGY|Q4|61/72']",Sae International,30
VIROLOGIE,0.7,VIROLOGY|Q4|41/41,"['VIROLOGIE', 'VIROLOGY|Q4|41/41']",Elsevier,30
Central European Journal of Energetic Materials,0.7,"ENGINEERING, CHEMICAL|Q4|146/170","['Central', 'European', 'Journal', 'Energetic', 'Materials', 'ENGINEERING', 'CHEMICAL|Q4|146/170']",Institute Of Energetic Materials,60
Estudios Geograficos,0.7,GEOGRAPHY|Q3|111/171,"['Estudios', 'Geograficos', 'GEOGRAPHY|Q3|111/171']",Consejo Superior De Investigaciones Cientificas (Csic),90
European Journal of Tourism Hospitality and Recreation,0.7,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q4|111/139","['European', 'Journal', 'Tourism', 'Hospitality', 'Recreation', 'HOSPITALITY', 'LEISURE', 'SPORT', 'TOURISM|Q4|111/139']",Sciendo,45
IEEE INDUSTRY APPLICATIONS MAGAZINE,0.7,"ENGINEERING, INDUSTRIAL|Q4|63/69","['IEEE', 'INDUSTRY', 'APPLICATIONS', 'MAGAZINE', 'ENGINEERING', 'INDUSTRIAL|Q4|63/69']",Ieee,30
Indian Journal of Thoracic and Cardiovascular Surgery,0.7,CARDIAC & CARDIOVASCULAR SYSTEMS|Q4|187/220,"['Indian', 'Journal', 'Thoracic', 'Cardiovascular', 'Surgery', 'CARDIAC', 'CARDIOVASCULAR', 'SYSTEMS|Q4|187/220']",Medknow Publications,21
Irish Journal of Management,0.7,MANAGEMENT|Q4|353/401,"['Irish', 'Journal', 'Management', 'MANAGEMENT|Q4|353/401']",Irish Academy Of Management,45
Journal of Environmental Accounting and Management,0.7,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q4|88/91,"['Journal', 'Environmental', 'Accounting', 'Management', 'GREEN', 'SUSTAINABLE', 'SCIENCE', 'TECHNOLOGY|Q4|88/91']",Springer,30
Journal of Metals Materials and Minerals,0.7,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q4|399/438","['Journal', 'Metals', 'Materials', 'Minerals', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q4|399/438']",Taylor & Francis,30
JOURNAL OF NEW MATERIALS FOR ELECTROCHEMICAL SYSTEMS,0.7,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q4|399/438","['JOURNAL', 'NEW', 'MATERIALS', 'ELECTROCHEMICAL', 'SYSTEMS', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q4|399/438']",Canadian Institute Of Mining,60
